data,fechamento,abertura,max,min,variacao
2025-01-29,123.432,124.056,124.767,123.278,-0.5
2025-01-30,126.913,123.433,127.169,123.432,2.82
2025-01-31,126.135,126.914,127.532,126.057,-0.61
2025-02-03,125.97,126.135,126.473,125.566,-0.13
2025-02-04,125.147,125.964,125.964,124.694,-0.65
2025-02-05,125.534,125.146,125.846,124.637,0.31
2025-02-06,126.225,125.531,126.399,125.249,0.55
2025-02-07,124.619,126.219,126.524,124.32,-1.27
2025-02-10,125.572,124.619,126.386,124.619,0.76
2025-02-11,126.522,125.571,126.886,125.57,0.76
2025-02-12,124.38,126.513,126.513,124.116,-1.69
2025-02-13,124.85,124.372,124.853,123.778,0.38
2025-02-14,128.219,124.849,128.482,124.849,2.7
2025-02-17,128.552,128.229,129.534,128.229,0.26
2025-02-18,128.532,128.553,129.294,128.012,-0.02
2025-02-19,127.309,128.528,128.528,127.028,-0.95
2025-02-20,127.601,127.309,127.871,127.063,0.23
2025-02-21,127.128,127.601,127.654,126.483,-0.37
2025-02-24,125.401,127.129,127.275,125.162,-1.36
2025-02-25,125.98,125.401,126.718,125.382,0.46
2025-02-26,124.769,125.98,126.563,124.732,-0.96
2025-02-27,124.799,124.768,125.497,124.352,0.02
2025-02-28,122.799,124.798,124.916,122.659,-1.6
2025-03-05,123.047,122.799,123.364,122.747,0.2
2025-03-06,123.358,123.048,124.112,122.681,0.25
2025-03-07,125.035,123.357,125.822,122.53,1.36
2025-03-10,124.519,125.031,125.031,123.471,-0.41
2025-03-11,123.507,124.519,124.625,122.636,-0.81
2025-03-12,123.864,123.507,124.048,122.969,0.29
2025-03-13,125.637,123.863,125.774,123.59,1.43
2025-03-14,128.957,125.647,129.194,125.647,2.64
2025-03-17,130.834,128.959,131.313,128.957,1.46
2025-03-18,131.475,130.832,131.834,130.722,0.49
2025-03-19,132.508,131.476,132.984,131.451,0.79
2025-03-20,131.955,132.505,132.713,131.813,-0.42
2025-03-21,132.345,132.005,132.588,131.776,0.3
2025-03-24,131.321,132.344,132.424,130.992,-0.77
2025-03-25,132.068,131.327,133.471,131.325,0.57
2025-03-26,132.52,132.069,132.984,132.068,0.34
2025-03-27,133.149,132.522,133.904,132.479,0.47
2025-03-28,131.902,133.143,133.143,131.315,-0.94
2025-03-31,130.26,131.9,131.901,130.115,-1.25
2025-04-01,131.147,130.267,131.982,130.081,0.68
2025-04-02,131.19,131.151,131.424,130.393,0.03
2025-04-03,131.141,131.185,132.552,130.182,-0.04
2025-04-04,127.256,131.139,131.139,126.466,-2.96
2025-04-07,125.588,127.229,128.411,123.876,-1.31
2025-04-08,123.932,125.588,127.652,123.454,-1.32
2025-04-09,127.796,123.928,128.649,122.887,3.12
2025-04-10,126.355,127.796,127.797,124.895,-1.13
2025-04-11,127.682,126.355,128.386,126.078,1.05
2025-04-14,129.454,127.683,129.955,127.683,1.39
2025-04-15,129.245,129.452,129.927,128.951,-0.16
2025-04-16,128.317,129.245,129.605,128.149,-0.72
2025-04-17,129.65,128.316,130.091,127.973,1.04
2025-04-22,130.464,129.65,130.877,128.726,0.63
2025-04-23,132.216,130.468,133.318,130.468,1.34
2025-04-24,134.58,132.245,134.938,132.223,1.79
2025-04-25,134.739,134.579,134.992,134.186,0.12
2025-04-28,135.016,134.741,135.709,134.711,0.21
2025-04-29,135.093,135.017,136.15,134.899,0.06
2025-04-30,135.067,135.094,135.171,133.955,-0.02
2025-05-02,135.134,135.067,135.275,134.355,0.05
2025-05-05,133.491,135.131,135.198,133.39,-1.22
2025-05-06,133.516,133.499,134.135,133.26,0.02
2025-05-07,133.398,133.517,134.11,132.872,-0.09
2025-05-08,136.232,133.458,137.635,133.458,2.12
2025-05-09,136.512,136.232,137.286,136.105,0.21
